Order.No.,Date.Logged,Released_by,Internal.RC,Defence.Status,GBP.Amount
67879434,07/01/2016,Gatekeeper,Fraud,None,£294.60
67138279,15/03/2016,Bypass,Fraud,Lost,£124.94
67100223,16/03/2016,Gatekeeper,Ethoca - refunded,Outstanding,£125.89
67236325,16/03/2016,Gatekeeper,Fraud,None,£129.94
67237354,16/03/2016,Gatekeeper,1st party fraud,Outstanding,£129.94
67337452,16/03/2016,Investigator,Fraud,Outstanding,£96.93
67260085,18/03/2016,Investigator,LIP - Untracked,Outstanding,£111.73
67161202,18/03/2016,Gatekeeper,Fraud,Won,£48.94
67524068,18/03/2016,Gatekeeper,Fraud,Lost,£106.92
67738478,18/03/2016,Gatekeeper,Fraud,Lost,£84.93
67542049,22/03/2016,Gatekeeper,Ethoca - refunded,Won,£159.16
67137762,22/03/2016,Gatekeeper,Fraud,Lost,£124.94
67154157,23/03/2016,Gatekeeper,Fraud,Lost,£134.94
67418720,24/03/2016,Investigator,Fraud,None,£44.00
67543464,29/03/2016,Investigator,Fraud,None,£58.60
67529625,30/03/2016,Investigator,Fraud,Outstanding,£51.15
67616667,30/03/2016,Investigator,Fraud,Outstanding,£47.95
67290868,30/03/2016,Investigator,Customer error,Won,£28.34
68064701,01/04/2016,Gatekeeper,Fraud,None,£98.93
68106039,01/04/2016,Gatekeeper,Fraud,None,£84.93
67103754,05/04/2016,Gatekeeper,Fraud,None,£41.94
67750557,06/04/2016,Gatekeeper,Fraud - Refunded,Won,£81.99
67465511,06/04/2016,Gatekeeper,Fraud,None,£294.60
67746508,06/04/2016,Gatekeeper,Fraud,None,£50.70
67525263,07/04/2016,Gatekeeper,Fraud,None,£98.93
67193710,08/04/2016,Bypass,Order returned/ cancelled – not refunded,None,£10.00
67436361,08/04/2016,Gatekeeper,LIP - Untracked,Lost,£144.02
67295644,08/04/2016,Bypass,Order issue - not refunded or replaced,None,£19.99
67139979,08/04/2016,Bypass,Fraud,None,£111.93
67337128,11/04/2016,Gatekeeper,Fraud,None,£104.92
67919595,11/04/2016,Investigator,Customer error,Lost,£47.10
