Medium_Key,Report_Medium
-1,NOT TRACKED
1,DIRECT
2,OTHER
3,OTHER
4,OTHER
5,OTHER
6,OTHER
7,OTHER
8,OTHER
9,AFFILIATE
10,AFFILIATE
11,AFFILIATE
12,AFFILIATE
13,AFFILIATE
14,AFFILIATE
15,AFFILIATE
16,AFFILIATE
17,AFFILIATE
18,AFFILIATE
19,AFFILIATE
20,AFFILIATE
21,AFFILIATE
22,AFFILIATE
23,AFFILIATE
24,AFFILIATE
25,AFFILIATE
26,OTHER
27,OTHER
28,OTHER
29,OTHER
30,OTHER
31,OTHER
32,OTHER
33,OTHER
34,OTHER
35,OTHER
36,OTHER
37,OTHER
38,OTHER
39,OTHER
40,OTHER
41,OTHER
42,OTHER
43,OTHER
44,OTHER
45,OTHER
46,PPC
47,PPC
48,PPC
49,PPC
50,PPC
51,PPC
52,PPC
53,OTHER
54,OTHER
55,OTHER
56,OTHER
57,PPC
58,OTHER
59,EMAIL
60,EMAIL
61,EMAIL
62,EMAIL
63,EMAIL
64,EMAIL
65,OTHER
66,OTHER
67,OTHER
68,OTHER
69,SOCIAL
70,SOCIAL
71,SOCIAL
72,SOCIAL
73,SOCIAL
74,SOCIAL
75,SOCIAL
76,SOCIAL
77,OTHER
78,OTHER
79,OTHER
80,OTHER
81,PPC
82,OTHER
83,OTHER
84,OTHER
85,OTHER
86,OTHER
87,OTHER
88,OTHER
89,OTHER
90,OTHER
91,OTHER
92,OTHER
93,OTHER
94,OTHER
95,OTHER
96,OTHER
97,OTHER
98,OTHER
99,OTHER
100,OTHER
101,OTHER
102,OTHER
103,OTHER
104,OTHER
105,OTHER
106,ORGANIC
107,OTHER
108,OTHER
109,OTHER
110,PPC
111,OTHER
112,OTHER
113,OTHER
114,OTHER
115,OTHER
116,OTHER
117,OTHER
118,REFERRAL
119,REFERRAL
120,OTHER
121,OTHER
122,OTHER
123,OTHER
124,OTHER
125,SOCIAL
126,SOCIAL
127,SOCIAL
128,SOCIAL
129,OTHER
130,OTHER
131,OTHER
132,OTHER
133,OTHER
134,OTHER
135,OTHER
136,OTHER
137,SOCIAL
138,SOCIAL
139,OTHER
140,SOCIAL
141,OTHER
142,OTHER
143,OTHER
144,OTHER
145,OTHER
146,OTHER
147,OTHER
148,SOCIAL
149,SOCIAL
150,OTHER
151,OTHER
152,SOCIAL
153,AFFILIATE
154,AFFILIATE
155,AFFILIATE
156,OTHER
157,OTHER
158,REFERRAL
159,AFFILIATE
160,OTHER
161,PPC
162,SOCIAL
163,SOCIAL
164,OTHER
165,OTHER
166,AFFILIATE
167,OTHER
168,OTHER
169,AFFILIATE
170,OTHER
171,OTHER
172,AFFILIATE
173,OTHER
174,OTHER
175,OTHER
176,ORGANIC
177,SOCIAL
178,AFFILIATE
179,AFFILIATE
180,OTHER
181,OTHER
182,DIRECT
183,OTHER
184,OTHER
185,AFFILIATE
186,OTHER
187,OTHER
188,OTHER
189,AFFILIATE
190,OTHER
191,AFFILIATE
192,OTHER
193,OTHER
194,SOCIAL
195,AFFILIATE
196,OTHER
197,OTHER
198,OTHER
199,OTHER
200,OTHER
201,OTHER
202,OTHER
203,OTHER
204,EMAIL
205,EMAIL
206,OTHER
207,OTHER
208,OTHER
209,OTHER
210,OTHER
211,OTHER
212,OTHER
213,OTHER
214,OTHER
215,OTHER
216,OTHER
217,EMAIL
218,DIRECT
219,SOCIAL
220,OTHER
221,EMAIL
222,OTHER
223,OTHER
224,OTHER
225,OTHER
226,OTHER
227,ORGANIC
228,OTHER
229,EMAIL
230,OTHER
231,OTHER
232,OTHER
233,OTHER
234,SOCIAL
235,SOCIAL
236,OTHER
237,OTHER
238,OTHER
239,OTHER
240,OTHER
241,ORGANIC
242,OTHER
243,OTHER
244,AFFILIATE
245,OTHER
246,OTHER
247,OTHER
248,OTHER
249,OTHER
250,OTHER
251,OTHER
252,OTHER
253,OTHER
254,AFFILIATE
255,OTHER
256,OTHER
257,OTHER
258,OTHER
259,SOCIAL
260,OTHER
261,AFFILIATE
262,OTHER
263,AFFILIATE
264,OTHER
265,OTHER
266,OTHER
267,OTHER
268,OTHER
269,OTHER
270,OTHER
271,OTHER
272,OTHER
273,PPC
274,OTHER
275,PPC
276,OTHER
277,OTHER
278,OTHER
279,AFFILIATE
280,OTHER
281,OTHER
282,AFFILIATE
283,OTHER
284,OTHER
285,OTHER
286,OTHER
287,OTHER
288,AFFILIATE
289,OTHER
290,OTHER
291,OTHER
292,OTHER
293,AFFILIATE
294,AFFILIATE
295,OTHER
296,OTHER
297,OTHER
298,OTHER
299,OTHER
300,OTHER
301,OTHER
302,OTHER
303,AFFILIATE
304,EMAIL
305,OTHER
306,OTHER
307,OTHER
