"","Category_Level_2Accessories","Category_Level_2Bags","Category_Level_2Beauty.Boxes","Category_Level_2Body.Care","Category_Level_2Books","Category_Level_2Clothing","Category_Level_2DVD.and.Blu.Ray","Category_Level_2Footwear","Category_Level_2Fragrance","Category_Level_2Games","Category_Level_2Garden","Category_Level_2Gifting","Category_Level_2Gifts","Category_Level_2Hair.Care","Category_Level_2Health.and.Beauty.Electricals","Category_Level_2Health.and.Beauty.Gift.Sets","Category_Level_2Homeware","Category_Level_2Make.Up","Category_Level_2Merchandise","Category_Level_2Music","Category_Level_2Nail.Care","Category_Level_2NULL","Category_Level_2Shaving","Category_Level_2Skin.Care","Category_Level_2Sports","Category_Level_2Sports.Nutrition","Category_Level_2Tech","Category_Level_2Toys","Delivery_Option_Type_Key","Payment_Method_Key","Locale_Key","Order_Sequence_No","Medium_Key","Campaign_Key","Order_Payment_Status_Key","Payment_Provider_Key","Ordered_Product_Key","Product_Charge_Price","Ordered_Qty","Cancelled_Qty","pay_key_num","num_valid","count","prop","canc_prop","fraud_status","Site_Key"
"1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,14,106,2,0,3,2438390,21.0658,1,0,0,23,23,1,0,0,"119"
"2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,14,106,2,0,3,2387870,23.1732,1,0,0,23,23,1,0,0,"119"
"3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,14,106,2,0,3,2387911,17.9126,1,0,0,23,23,1,0,0,"119"
"4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,14,106,2,0,3,2272624,10.529,1,0,0,23,23,1,0,0,"119"
"5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,118,2,0,3,2298750,24.2347,1,0,0,1,1,1,0,0,"119"
"6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,2,1,2,0,2,2425655,21.2766,1,0,0,1,1,1,0,0,"119"
"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,118,2,0,3,1049510,18.7243,1,0,0,1,1,1,0,0,"119"
"8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,2,106,2,0,3,1890218,51.6304,1,0,0,3,3,1,0,0,"119"
"9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,2,106,2,0,3,1873939,5.2684,1,0,0,3,3,1,0,0,"119"
"10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,15,118,2,0,3,2373581,16.8511,1,0,0,1,1,1,0,0,"119"
"11",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,24,106,2,0,1,2383372,15.8052,1,0,0,3,3,1,0,0,"119"
"12",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,24,106,2,0,1,2307088,0,1,0,0,3,3,1,0,0,"119"
"13",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,8,57,13,82461,0,-1,2383372,0,1,0,0,2,2,1,0,0,"119"
"14",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,8,57,13,82461,0,-1,2193394,0,1,0,0,2,2,1,0,0,"119"
"15",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,1,2,0,3,1457807,14.6657,1,0,0,1,1,1,0,0,"119"
"16",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,49,1,2,0,1,1136087,2.6459,1,0,0,6,6,1,0,0,"119"
"17",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,11,59,125669,0,2,2384826,63.8453,1,0,0,1,1,1,0,0,"119"
"18",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,48,66873,0,3,1268949,18.178,1,0,0,8,8,1,0,0,"119"
"19",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,48,66873,0,3,2047982,9.4051,1,0,0,8,8,1,0,0,"119"
"20",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,48,66873,0,3,1907043,14.2442,1,0,0,8,8,1,0,0,"119"
"21",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,48,66873,0,3,2078365,11.0754,1,0,0,8,8,1,0,0,"119"
"22",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,118,2,0,3,2298750,24.2347,1,0,0,1,1,1,0,0,"119"
"23",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,13,2,0,3,1893526,10.4275,1,0,0,3,3,1,0,0,"119"
"24",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,13,59,53755,0,3,2431057,15.8052,1,0,0,1,1,1,0,0,"119"
"25",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,10,59,67055,0,1,2431057,15.8052,1,0,0,9,9,1,0,0,"119"
"26",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,10,59,67055,0,1,2230090,12.1369,1,0,0,9,9,1,0,0,"119"
"27",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,10,59,67055,0,1,2421588,27.3879,1,0,0,9,9,1,0,0,"119"
"28",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,14,106,2,0,3,2376313,47.642,1,0,0,5,5,1,0,0,"119"
"29",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,14,106,2,0,3,2324656,13.8306,1,0,0,5,5,1,0,0,"119"
"30",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,14,106,2,0,3,2106153,12.3866,1,0,0,5,5,1,0,0,"119"
"31",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,8,48,1,2,0,-1,2337288,0,1,0,0,14,14,1,0,0,"119"
"32",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,14,118,2,0,3,1557441,8.4217,1,0,0,4,4,1,0,0,"119"
"33",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,14,118,2,0,3,2090128,11.0754,1,0,0,4,4,1,0,0,"119"
"34",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,7,1,2,0,3,2102319,31.6027,1,0,0,1,1,1,0,0,"119"
"35",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,6,118,2,0,2,2259566,12.9954,1,0,0,3,3,1,0,0,"119"
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,9,8,2,106,2,0,2,2414680,9.4987,1,0,0,3,3,1,0,0,"119"
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,9,8,2,106,2,0,2,2414681,9.4987,1,0,0,3,3,1,0,0,"119"
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,9,8,2,106,2,0,2,2414682,9.4987,1,0,0,3,3,1,0,0,"119"
"39",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,118,2,0,3,2092548,7.3758,1,0,0,2,2,1,0,0,"119"
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,8,1,118,2,0,3,2362416,2.6459,1,0,0,2,2,1,0,0,"119"
