Category_Level_2Accessories,Category_Level_2Bags,Category_Level_2Beauty.Boxes,Category_Level_2Body.Care,Category_Level_2Books,Category_Level_2Clothing,Category_Level_2DVD.and.Blu.Ray,Category_Level_2Footwear,Category_Level_2Fragrance,Category_Level_2Games,Category_Level_2Garden,Category_Level_2Gifting,Category_Level_2Gifts,Category_Level_2Hair.Care,Category_Level_2Health.and.Beauty.Electricals,Category_Level_2Health.and.Beauty.Gift.Sets,Category_Level_2Homeware,Category_Level_2Make.Up,Category_Level_2Merchandise,Category_Level_2Music,Category_Level_2Nail.Care,Category_Level_2NULL,Category_Level_2Shaving,Category_Level_2Skin.Care,Category_Level_2Sports,Category_Level_2Sports.Nutrition,Category_Level_2Tech,Category_Level_2Toys,Delivery_Option_Type_Key,Payment_Method_Key,Locale_Key,Order_Sequence_No,Medium_Key,Campaign_Key,Order_Payment_Status_Key,Payment_Provider_Key,Ordered_Product_Key,Product_Charge_Price,Ordered_Qty,Cancelled_Qty,pay_key_num,num_valid,count,prop,customer_status,canc_prop,ship_status,fraud_status,destination_int,priority_int,occupation_int,Site_Key
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,1,48,58914,0,1,2252631,0,1,0,0,2,2,1,2,0,1,1,1,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,1,48,58914,0,1,2402088,147.2318,2,0,0,2,2,1,2,0,1,1,1,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,11,3,1,1,2,0,1,2439463,119.99,1,0,0,1,1,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,13,3601,0,1,2334805,22.99,1,0,0,6,6,1,2,0,1,1,1,1,1,121
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,13,3601,0,1,2322600,24.99,1,0,0,6,6,1,2,0,1,1,1,1,1,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,3,1,13,3601,0,1,2369923,22.99,1,0,0,6,6,1,2,0,1,1,1,1,1,121
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,13,3601,0,1,2321733,16.99,1,0,0,6,6,1,2,0,1,1,1,1,1,121
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,13,3601,0,1,2322442,24.99,1,0,0,6,6,1,2,0,1,1,1,1,1,121
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,13,3601,0,1,2334810,7.99,1,0,0,6,6,1,2,0,1,1,1,1,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,1,1,2,0,1,2299771,124.99,1,0,0,1,1,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,1,2,0,1,2299771,124.99,1,0,0,1,1,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,1,2,0,1,2096559,46.99,1,0,0,2,2,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,1,2,0,1,2067983,44.99,1,0,0,2,2,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,1,13,3601,0,1,1684973,112.1242,1,0,0,1,1,1,2,0,1,1,2,1,1,15
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,2,1,2,0,1,2353303,44.99,1,0,0,1,2,0.5,1,0,2,1,2,2,1,121
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,1,2,0,1,2296004,7.99,1,0,0,2,2,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,1,2,0,1,2096559,46.99,2,0,0,2,2,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,-1,82900,0,1,2410316,39.99,2,0,0,1,1,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,3,1,48,77578,0,1,1613153,56.2766,1,0,0,4,4,1,2,0,2,1,2,1,1,15
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,1,48,77578,0,1,2375051,0,1,0,0,4,4,1,2,0,2,1,2,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,3,1,48,77578,0,1,2190957,46.0765,1,0,0,4,4,1,2,0,2,1,2,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,3,1,48,77578,0,1,1613075,56.2766,1,0,0,4,4,1,2,0,2,1,2,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,11,3,1,1,2,0,1,2439463,119.99,1,0,0,1,1,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,3,2,1,2,0,1,2439178,129.99,1,0,0,1,1,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,1,1,2,7,1,2439038,44,1,0,7,0,1,0,3,0,1,1,2,2,1,11
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,67,12,2,1,2,0,5,2414506,39.5554,1,0,0,1,2,0.5,1,0,1,1,1,1,1,153
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,1,1,2,7,1,2420066,47.2,1,0,7,0,1,0,3,0,1,1,2,2,1,11
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,1,13,3601,7,1,2439040,44,1,0,7,0,1,0,3,0,1,1,2,2,1,11
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67,3,1,48,80317,0,5,2225574,25.4313,1,0,0,1,1,1,2,0,1,1,2,1,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,-1,82900,0,1,2096559,46.99,2,0,0,1,1,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,1,2,7,1,2067138,39.99,2,0,7,0,1,0,3,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,4,106,2,0,1,2350658,36.99,1,0,0,1,2,0.5,1,0,1,1,1,1,1,121
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,1,106,2,0,1,2443112,80,1,0,0,1,3,0.333333333,1,0,1,1,2,1,1,11
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,1,48,58914,0,1,2375051,0,1,0,0,3,3,1,2,0,1,1,1,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,1,48,58914,0,1,2402088,144.2792,2,0,0,3,3,1,2,0,1,1,1,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,1,48,58914,0,1,2252631,0,1,0,0,3,3,1,2,0,1,1,1,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,3,1,118,2,0,1,2191109,50.7,1,0,0,1,2,0.5,1,0,1,1,2,2,1,15
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,1,2,0,1,2096559,46.99,2,0,0,1,1,1,2,0,2,1,1,1,1,121
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,2,13,3601,0,3,2228572,10,1,1,0,3,3,1,2,1,1,1,2,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,1,48,82900,0,1,2120302,135.1673,1,0,0,1,1,1,2,0,1,1,2,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,3,7,13,3601,0,1,2357350,0,1,0,0,3,3,1,2,0,1,1,2,2,1,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,3,7,13,3601,0,1,2372129,18.99,1,0,0,3,3,1,2,0,1,1,2,2,1,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,3,7,13,3601,0,1,2410089,0,1,0,0,3,3,1,2,0,1,1,2,2,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,1,1,2,7,1,2301544,59.99,1,0,7,0,2,0,3,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,1,1,2,7,1,2096559,46.99,1,0,7,0,2,0,3,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,1,2,0,1,2096559,46.99,2,0,0,2,2,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,11,3,1,1,2,0,1,1531727,5.99,1,0,0,2,2,1,2,0,2,1,1,1,1,121
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67,3,1,48,80317,0,5,2257231,42.0018,1,0,0,1,1,1,2,0,1,1,2,1,1,121
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67,3,1,106,2,0,5,2303625,14.4825,1,0,0,1,1,1,2,0,1,1,2,1,1,121
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,67,12,2,-1,82900,0,5,2372673,136.7522,1,0,0,1,2,0.5,1,0,2,1,1,1,1,153
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,2,48,64355,7,1,2443031,16.4428,1,0,7,0,3,0,4,0,1,1,2,1,1,11
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,1,48,64355,7,1,2442921,16.3486,1,0,7,0,3,0,4,0,1,1,2,1,1,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,3,1,1,2,0,1,2249434,26,5,0,0,3,3,1,2,0,1,1,1,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,3,1,1,2,0,1,2320532,0,1,0,0,3,3,1,2,0,1,1,1,1,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,3,1,1,2,0,1,2478195,0,1,0,0,3,3,1,2,0,1,1,1,1,1,15
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,1,2,0,1,2414467,29.99,1,0,0,3,3,1,2,0,2,1,1,1,1,121
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,1,1,2,0,1,2414466,29.99,1,0,0,3,3,1,2,0,2,1,1,1,1,121
